item_code,item_name,category,uom,predicted_rate,source,last_po_price,last_po_date,erp_rate,live_metal_rate
WB-606-00022,"Aluminium Brazing Rod, Size:2 mm",WB-606-,KGS,432.32,costing formula (live metal),,,7000,367.9
WB-606-00010,"AL TIG Welding Rod, Ø2.4mm",WB-606-,KGS,432.32,costing formula (live metal),900.0,2025-07-31,900,367.9
WB-606-00004,"Aluminium Brazing Rod, Size:5mm",WB-606-,KGS,432.32,costing formula (live metal),,,440,367.9
AL-222-00164,Al Strip 11 x 1.8 (Bare) with 0.5mm covering - 0.12SE +2 Layers of polyester of 20u with 50% overlap+ varnish bonded fibre glass filament ( Fine covering) acc to IS 11597-1986,AL-222-,KGS,432.32,costing formula (live metal),,,416,367.9
AL-222-00207,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 11 × 5, Super Enamelled 0.11 mm (Finished OD= 11.11×5.11)",AL-222-,KGS,436.02,costing formula (live metal),,,415,367.9
AL-222-00220,"AL Round Conductor, Aluminium Wire Ø4.2 MM, Super Enameled 0.11mm, Grade-2, Class H , IS 13730 | IEC 60317 | Part - 8 (Finished OD=4.31 MM)",AL-222-,KGS,436.02,costing formula (live metal),,,415,367.9
PKG-000-00035,Aluminium Foil Cover Bag,PKG-000-,KGS,432.32,costing formula (live metal),,,410,367.9
AL-222-00208,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 5.5 × 3.5, Super Enamelled 0.11 mm (Finished OD= 5.61×3.61)",AL-222-,KGS,436.02,costing formula (live metal),,,405,367.9
AL-222-00217,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 6×3, Super Enamelled 0.12 mm (Finished OD=6.12×3.12)",AL-222-,KGS,436.02,costing formula (live metal),407.2,2025-10-30,405,367.9
AL-222-00205,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 7.5×3.5, Super Enamelled 0.11 mm (Finished OD=7.61×3.61)",AL-222-,KGS,436.02,costing formula (live metal),,,405,367.9
AL-111-00002,"Aluminium Foil, Electrical Grade:1050, Size: 250 (Width) X 1 MM (Thick)",AL-111-,KGS,432.32,costing formula (live metal),335.0,2025-10-03,400,367.9
AL-222-00033,"AL Round Conductor, Aluminium Wire Ø0.70 MM, Super Enameled 0.11mm, Grade-2, Class H",AL-222-,KGS,436.02,costing formula (live metal),,,393,367.9
AL-222-00055,"AL Rectangular Conductor, Aluminium Strip 8.0 X 4.0 MM, Super Enameled 0.08MM, Finished OD = 8.08 x 4.08 mm, Grade 2, Class H.",AL-222-,KGS,436.02,costing formula (live metal),,,390,367.9
AL-222-00046,"AL Round Conductor, Aluminium Wire Ø 0.35 MM, Enameled 0.06mm, Grade-2, Class H, Finished OD = 0.41 mm",AL-222-,KGS,436.02,costing formula (live metal),470.0,2026-02-24,389,367.9
AL-222-00034,"AL Round Conductor, Aluminium Wire Ø0.80 MM, Super Enameled 0.11mm, Grade-2, Class H",AL-222-,KGS,436.02,costing formula (live metal),,,389,367.9
AL-222-00038,"AL Round Conductor, Aluminium Wire Ø1.40 MM, Super Enameled 0.11mm, Grade-2, Class H",AL-222-,KGS,436.02,costing formula (live metal),397.0,2025-11-20,388,367.9
AL-222-00219,"AL Round Conductor, Aluminium Wire Ø3.251 MM, Super Enameled 0.11mm, Grade-2, Class H , IS 13730 | IEC 60317 | Part - 8 (Finished OD=3.361 MM)",AL-222-,KGS,436.02,costing formula (live metal),,,385,367.9
